title,"'burbs, The (1989)",(500) Days of Summer (2009),*batteries not included (1987),10 Cloverfield Lane (2016),10 Things I Hate About You (1999),"10,000 BC (2008)",101 Dalmatians (1996),101 Dalmatians (One Hundred and One Dalmatians) (1961),102 Dalmatians (2000),12 Angry Men (1957),12 Years a Slave (2013),127 Hours (2010),13 Going on 30 (2004),13 Hours (2016),"13th Warrior, The (1999)",1408 (2007),15 Minutes (2001),16 Blocks (2006),17 Again (2009),1984 (Nineteen Eighty-Four) (1984),2 Days in the Valley (1996),"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)",20 Dates (1998),"20,000 Leagues Under the Sea (1954)",200 Cigarettes (1999),2001: A Space Odyssey (1968),2010: The Year We Make Contact (1984),2012 (2009),2046 (2004),21 (2008),21 Grams (2003),21 Jump Street (2012),22 Jump Street (2014),24 Hour Party People (2002),25th Hour (2002),27 Dresses (2008),28 Days (2000),28 Days Later (2002),28 Weeks Later (2007),3 Ninjas (1992),30 Days of Night (2007),30 Minutes or Less (2011),300 (2007),3000 Miles to Graceland (2001),"39 Steps, The (1935)",3:10 to Yuma (2007),40 Days and 40 Nights (2002),"40-Year-Old Virgin, The (2005)","400 Blows, The (Les quatre cents coups) (1959)",47 Ronin (2013),48 Hrs. (1982),50 First Dates (2004),50/50 (2011),54 (1998),"6th Day, The (2000)","7th Voyage of Sinbad, The (1958)",8 1/2 (8½) (1963),8 Mile (2002),8MM (1999),9 (2009),9 1/2 Weeks (Nine 1/2 Weeks) (1986),A Million Ways to Die in the West (2014),"A-Team, The (2010)",A.I. Artificial Intelligence (2001),AVP: Alien vs. Predator (2004),AVPR: Aliens vs. Predator - Requiem (2007),About Last Night... (1986),About Schmidt (2002),About Time (2013),About a Boy (2002),Abraham Lincoln: Vampire Hunter (2012),"Absent-Minded Professor, The (1961)",Absolute Power (1997),"Abyss, The (1989)",Accepted (2006),"Accidental Tourist, The (1988)","Accused, The (1988)",Ace Ventura: Pet Detective (1994),Ace Ventura: When Nature Calls (1995),Across the Universe (2007),Adaptation (2002),Addams Family Values (1993),"Addams Family, The (1991)",Addicted to Love (1997),"Adjustment Bureau, The (2011)",Adventureland (2009),Adventures in Babysitting (1987),"Adventures of Baron Munchausen, The (1988)","Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)","Adventures of Milo and Otis, The (Koneko monogatari) (1986)","Adventures of Pinocchio, The (1996)","Adventures of Priscilla, Queen of the Desert, The (1994)","Adventures of Robin Hood, The (1938)","Adventures of Rocky and Bullwinkle, The (2000)","Adventures of Tintin, The (2011)",Aeon Flux (2005),"Affair to Remember, An (1957)","African Queen, The (1951)",After Hours (1985),After the Sunset (2004)
"'burbs, The (1989)",1.0016420361247957,0.06322029284877302,0.23629543097494923,-0.0238074326843894,0.1437172051568437,0.012017296187919727,0.08807534547161175,0.22442032595998673,-0.01863830873333645,0.034279677936653666,0.009292202114060703,0.008344219464529026,0.049781721395603065,-0.013624550668010807,0.17635975531638096,0.13221003830144357,0.10467140177759095,0.06494842534774828,0.04734873265741266,0.18475438110452724,0.09297592909553475,0.0842036744019384,0.1104451909103769,0.1668727159614256,0.23214289642070188,0.206315220361839,0.18732641050676913,0.006387464051209711,-0.017010514035549616,-0.027196491059854423,0.03566763111759944,-0.01431669208015208,-0.027758730701196964,0.09764479740813983,0.09943405900586298,-0.02806713136180614,0.1071768705825875,0.11731110863242832,-0.029014718615646945,0.12940522470343152,0.14487922064002545,-0.015280467173630088,0.10923797804756523,0.04110192598465791,0.02171300989261801,0.13162083938130043,0.11557582321247141,0.12446921840362674,-0.022056817451456035,-0.015042684721332304,0.25612593876560985,0.024506559460704666,0.027089307916514954,0.1412875907089416,0.02520985725491505,0.18541596770410057,0.05077576803334441,0.08143153811523557,0.0752978383823416,0.04968324483143494,0.17745743722459373,-0.007662024142103872,0.048679612862147933,0.19060198117669513,0.0713401528097878,-0.014677196130795237,0.18908171050298717,0.24900758868307846,0.031800273067905074,0.10331747623444067,0.1813808117612548,0.48159189062026164,0.18169751156763075,0.23516205329498147,0.035950224328863446,0.012591757358078002,0.020721607901757668,0.11882711668785288,0.13902292325331825,0.03522519551219106,0.13555407525021904,0.18047873774893453,0.28853164384995506,0.31016001375622293,0.07355513055796832,0.23488532233873002,0.3271305160992525,0.1501992839652424,0.4027856607449982,0.38100332923918134,-0.015183106991778331,0.08432725799191819,0.004193502921529585,0.14761920347386515,0.05822143608140879,0.004787810634390995,0.06737294607946748,0.14040637772000947,0.033779625206841975,-0.015414334751923003
(500) Days of Summer (2009),0.06322029284877302,1.0016420361247955,0.1341690616869437,0.1427053432374111,0.2744391875562069,0.19427836437590404,0.14914711041540393,0.14237465583802664,0.06667626851637054,0.16001787653768468,0.13570855379537972,0.20046366190962642,0.29763992334563777,0.09082067320209317,0.0729541171858085,0.2269458487268271,0.08738306060790124,0.18613049932189843,0.34351149159397754,0.038317970331640964,0.04016978789762056,0.24230315141947595,-0.02577158895200671,0.0017414002908894438,-0.025437943959212953,0.11380249541881686,0.030653174665656473,0.2747220201911935,0.026536499280089713,0.28551104703028346,0.09418347109222175,0.28501941241131473,0.19451883225609357,0.12891651674869622,0.08658875529498893,0.20584882244488192,0.048749563572024264,0.14941162437754188,0.15740310398777216,0.03933911554907028,0.25024573895224017,0.22126441084112222,0.34359105882874247,0.09333445956276108,-0.034744561428480925,0.2533956927505577,0.17490423908647046,0.3453707194471707,0.023663794721457257,0.012375593097029807,0.15688527858571585,0.31455282050299405,0.450294352175567,0.13426099399510436,0.04609986140679227,-0.023540194522390853,0.03871154072169405,0.14280367413088868,0.007754675630428846,0.24576834905164188,0.10773750590957756,0.2183062616072403,0.17827963764532545,0.18211580905380517,0.14695547161562214,0.022191008307176595,0.024010469927213087,0.1253993580783196,0.42094742686249786,0.11764482776788714,0.171369218288666,0.017731045578470817,0.05510056507807635,0.036709236442664155,0.3039083264473752,-0.023529048393880137,-0.023695397505599736,0.06785323627492756,0.11045542796493367,0.15609496183633667,0.12280370367269082,0.05259928323933175,0.14582770617950291,0.022922629813309617,0.33627837763853924,0.46356823514406303,0.052097706188804195,0.16102925136893959,0.011860619048651376,0.09904904377863283,-0.02504376915916659,0.06231455231064629,0.008801873337611099,0.05298324260675128,0.14594897914168972,0.18269942036916204,0.09293887829665155,-0.03259550380336702,0.0926048277927269,0.138521473844232
*batteries not included (1987),0.23629543097494923,0.1341690616869437,1.0016420361247942,0.035654746893521896,0.061244102279588555,-0.017134267072923526,0.0735791890018377,0.10627449767735458,-0.01258116906058583,0.026420596187537778,0.06562214419386626,0.06569650587207483,0.109492396047504,0.1201521170839812,0.03485293116399777,0.13980451647251368,0.11028501274718804,-0.012921077661296278,-0.013651869265682475,-0.015992697684843106,0.08158738529219395,-0.018289434962389578,-0.010546701469385475,0.04161277022863871,0.07677791817669524,0.15317526076818114,0.16411562264585877,0.01500110032755369,-0.011482380507300856,0.05377352047417434,-0.02145193475544031,0.08711127851309405,0.052255807784008415,0.26694305651342864,0.11127476829300056,-0.01894578149555857,0.012994312021491088,0.10472210444283463,-0.01958541868640004,0.30885035033325686,0.16286232572475867,0.09654493613832751,0.12243294374762209,0.06461989272436096,-0.014218778584173442,0.11162023115803829,0.06082896809509207,0.14637321700032502,-0.014888719425433222,0.06263064191311712,0.16625203425170182,0.01986871238625263,-0.018957330625552948,0.13813501165036488,0.11335673305866385,-0.009633531119143038,0.08909128450024416,0.029030658353226445,0.022432021691271793,0.11685664311359271,0.05182279513559003,0.11064537663502945,0.03726102692384174,0.15325007509525865,0.09404386720179618,-0.009907352029566666,-0.012921077661296368,0.21963251821761648,-0.016543242861156715,0.00633237040151999,0.20038140172347438,0.12541723200739288,0.09881836700178584,0.10497628853298697,-0.0004653030540005455,-0.00962896970501523,-0.009697046005016407,0.09964841582988662,0.17647390452528733,-0.014277251035192146,0.15495918151894386,0.1723075256605102,0.3339333386805585,0.04432951173097109,0.048151133621935585,0.29437391482383235,0.22203846472292177,0.24210988070437636,0.04288402680411109,0.44133779556454805,-0.010248850293313657,0.06932800681682558,-0.012018237324556038,0.026819901108276183,0.06759861206850074,0.0027448387139788885,-0.011839278015683118,-0.0251427126648162,0.1092850524551473,-0.010404932885543585
10 Cloverfield Lane (2016),-0.0238074326843894,0.1427053432374111,0.035654746893521896,1.0016420361247764,-0.005808381287077568,0.1125803152524781,0.00614915663488081,-0.016862948779688393,-0.01772072183888646,0.03175556549894822,-0.024314931258457587,0.2733909370421327,-0.0278806932083867,0.19859821386371715,-0.03003209353576346,0.18154259852325857,0.017343531108838475,0.1734153925607042,-0.019228815436229226,0.049307999103600335,-0.02074457191452893,0.09752351282162688,-0.014855150754015273,0.01249839282715588,-0.014662832512578805,0.09947283193461469,-0.025078543500478008,0.20607700752787514,0.09137189726964222,0.08303991231688361,-0.030215297710131688,0.31047181599791374,0.29291242423112585,-0.016068050267786856,0.09244253264230085,-0.026685351916531895,-0.008502017494438373,0.2286162263844771,0.23208275335549866,-0.012791413342397117,0.2635037722399152,0.16024206734533536,0.17071942408540228,0.12711875339951864,-0.020027313754825322,0.1050402088873301,0.08209486302161537,0.14616288801698477,0.03336516186408133,0.0452181006381858,0.14730910189807173,0.025722893146935547,0.11080777390605055,-0.013046616447175067,0.13705298674469524,-0.013568939775509341,-0.02275726662596875,0.16743914749171346,0.04244777118727591,0.37437530722763934,0.022271608960395695,0.369365938052912,0.13142127413706922,0.1125310298746483,0.0345277095264933,0.22064731732164192,-0.01819948702635276,0.007613315642574695,0.21059403730502377,0.030417895787118062,0.2717428007366228,-0.018301744300442374,0.01722669736783981,0.03702335151766923,-0.02207242118249653,-0.013562514971060577,-0.013658401225377027,0.0488110972492726,0.07523667721608265,0.08694302008662329,0.001849763340082266,-0.03176107205413387,-0.010818040645206901,-0.018255361851865465,0.39609587013787645,0.07944358380237061,-0.02658856346268006,0.07242344106902857,-0.027406311448918547,-0.01592770591693437,-0.014435623934596777,-0.03634923871011558,-0.016927825991097822,0.007841403109677654,0.3156917527328593,0.04192713866513496,-0.016675759738928028,-0.035413800995971134,0.0995828394974387,-0.014655468067322392
10 Things I Hate About You (1999),0.1437172051568437,0.2744391875562069,0.061244102279588555,-0.005808381287077568,1.0016420361247944,0.24507195127236428,0.2238479135843072,0.2118198971148052,0.10990913737325896,0.011803461276435282,0.09211460079350374,0.0434538363696051,0.32159860704062854,0.00421898899580697,0.21618260215771726,0.06958419319238911,0.22356377269538527,0.14781368330320366,0.23164119830364835,0.13193530428460576,0.08509241154194233,0.2419652893362737,0.010957539182461139,-0.025048035449927616,0.1520896645375612,0.08611550048657174,0.011605853310825703,0.0642919555536499,-0.032040706286414436,0.1486509407556444,0.09232044825341267,0.2537706266627844,0.12829346114473286,0.1924163091814209,0.13015425157820557,0.2953209453407301,0.13262086522354724,0.09247101252654909,0.10122580043797934,0.08663918676193427,0.2821790964038458,0.1037021480174667,0.27992190197212063,0.06132494145827636,0.031698775906117554,0.05505538464811317,0.16961064478213828,0.2827322610561241,0.04437189684148374,-0.016073497712422603,0.11407797510506107,0.26053083724629295,0.19381806216560546,0.12726690694070886,0.10670580189307184,0.007353803976792162,0.10434662548402462,0.20219647368629454,0.19318621583542653,0.040756068173976596,0.1756807498795696,0.1563301648129963,0.012729539603107224,0.15058654704108784,0.06532433160996234,0.0009105224803337804,0.1520897057258426,0.1084825605276762,0.1248295399895042,0.2263844046360383,0.07301768242277916,0.12932923254948364,0.0622474007082596,0.07389482820790953,0.25851340937023753,0.06633775126625234,0.019776371073564128,0.10909762644112493,0.1251592109065082,0.35147158397086015,0.14687966980874267,0.07183613655791149,0.21910254207589872,0.10752056223947937,0.07596377617532207,0.23541316378831112,0.247254343795246,0.1964093785907227,0.12306364009121008,0.15368729095359637,-0.028598634387068125,0.20086729041625362,0.10824648770699588,0.14622507554629502,0.0028080126753084775,0.1739141361692035,0.11556823403160058,0.0421689497921793,0.10937650210928868,0.0682603407389137
"10,000 BC (2008)",0.012017296187919727,0.19427836437590404,-0.017134267072923526,0.1125803152524781,0.24507195127236428,1.0016420361247862,0.2348438814611449,0.11932768297594983,0.08633656356768886,0.059283982393548554,-0.02592456728048848,0.08947462993317291,0.16737244869358692,-0.013811332016065552,0.1634155151592428,0.1339254322889486,0.1907942807510337,0.14499312036112424,0.17478592034029833,0.07704148242956319,0.07431018640768922,0.38458763530370993,-0.015838554141513854,0.06249215606963353,-0.015633504530787497,0.043528894097405436,0.013950641876165756,0.1838039729791786,0.21142292998384057,0.15116518068440585,0.16973639574103933,0.23137862782229027,0.08380611650806384,0.14643919377803546,0.007855778476373115,0.1887797254041539,0.019514263780152568,0.20712951132144156,0.190143721905036,-0.013638198368015785,0.3130534468773277,0.08079608311093381,0.26997620585285376,0.02907953551675174,0.029552205870229938,0.1569753587777046,0.24220265830892482,0.22997919711346795,0.03323500387541342,-0.015248907517157044,0.08570088224938267,0.17181244534971496,0.1493514567985246,0.05987475143485923,-0.00807647761404339,-0.014467196653608894,0.026540251097764717,0.22492045106950195,0.1178506575333378,0.20821423466108635,0.21463580759789386,0.14621276642190176,0.1451910526047926,0.06600078458179429,0.11004686073527661,-0.014878408379607995,0.03777742201747761,0.016694119990780222,0.15384168980326235,0.10120582982487093,0.09824509618384898,0.03139097763084213,0.04327504189273527,0.106431952890496,0.12869861800108354,-0.014460346530389337,-0.014562580405734389,0.12433938437335798,0.14913938682370365,0.1894070393682303,0.04997011231110292,-0.017842725211483286,0.1081595304285713,0.0187743166316377,0.29674070285535986,0.20710168021662745,0.10732476058923378,0.07049748481608659,0.01238912311413673,-0.01698211190803889,-0.015391254861068597,0.05847486841295203,0.01934812323688004,0.0518116009346425,0.14755481541672313,0.2723535842343628,0.10197858839930997,0.014166916472839236,-0.01726006572439297,0.28314188026477694
101 Dalmatians (1996),0.08807534547161175,0.14914711041540393,0.0735791890018377,0.00614915663488081,0.2238479135843072,0.2348438814611449,1.0016420361248062,0.28557975611468567,0.2648198553166417,0.12003981010873473,0.0725181875933982,0.03001588655507853,0.1887761109931902,-0.023845094245548062,0.004219756572204584,0.1600391130210453,0.023720622819243087,0.14458821119396603,0.06456984100563985,0.06036297919833151,-0.011687362335564262,0.2265661092440432,0.03861831928353269,0.04890707742389879,0.11693501189342746,0.11102564768952004,0.0592625486327043,0.09037935252336379,0.016531043672547856,0.16300965711622067,0.06604732813713245,0.0833658863308693,0.04736936770211612,0.07031112126092945,0.02448924329537883,0.14567618954981598,0.20707673607266183,0.07157193410668072,0.1486800580030617,0.09970870753713865,0.18909558852783154,0.034996355111215724,0.2038263992333039,-0.02802016045751779,0.05406260524609744,0.09882605767076756,0.20442027126329299,0.19240686594801368,0.11756736325428578,-0.026327050603468027,0.018192343834791992,0.20178695384876172,0.013997951281184582,-0.024015953976054927,0.07344417512238967,0.008571998478528362,0.03411966565895436,0.14233337585377243,0.014598965947078803,0.1299030389848394,0.035469824011187964,0.08262994530856213,0.12652091745193428,0.10355943473956707,0.1042791058365856,0.0302806684963382,0.050305551876940115,0.06844148652651012,0.03229716095536898,0.09300302904259686,0.04589004325364037,0.05490570792512137,0.021732777221699973,0.09931571080584992,0.15808132555035276,0.010164775383017476,0.020754648078705352,0.22526094291058876,0.276720490641003,0.22811068614121965,0.05381441548336865,0.17207754589856114,0.29669351681582357,0.08198403639474305,0.06842932630826257,0.0983139716369515,0.12815362981296788,0.11444852525419115,0.09391191920818001,0.17811079215732667,0.1865613654182278,0.1310302033167617,0.13943339087281242,0.09834126801998429,0.19289027014536056,0.15017416958022986,0.16059345717496412,0.11929182339232629,-0.029799290423527712,0.03923427135868573
101 Dalmatians (One Hundred and One Dalmatians) (1961),0.22442032595998673,0.14237465583802664,0.10627449767735458,-0.016862948779688393,0.2118198971148052,0.11932768297594983,0.28557975611468567,1.0016420361247824,0.23738063393092015,0.1342569913837901,0.017292416608928156,-0.046352630562125685,0.21876425967963126,-0.02344087474994888,0.136117193984663,0.22756617737253743,0.1510823220843346,0.21836820229081214,0.1216090949147225,0.016238477587367524,0.012317707791663364,0.27865914214487936,0.03517231670663154,0.07776927680911581,0.06373034863509232,0.10239739144572718,0.04778583794513743,0.11251873754288115,0.026736560452179176,0.0680234596125643,0.07785116377397673,0.1319524097203987,0.04043889479033628,0.14946399683965772,0.15926955029504766,0.06476591017224281,0.15173702997705923,0.16104101319284395,0.10032498208455372,0.10776398170268064,0.1909127047471163,0.023493297086605185,0.225908436296454,0.019307538581979315,0.11509780801003122,0.1869558759005751,0.20137445098918877,0.2120835551398776,-0.037948487833511346,0.06454207817081209,0.08191025581807056,0.2549207082805883,0.05210747226262508,0.052689923407171574,0.08583368505314751,0.03856799661164681,0.07264447769855678,0.19913003147953567,-0.003897827399108147,0.1567086867089365,0.1784380703098968,0.007064600712997408,0.1794444287753192,0.2333133954438673,0.16255011260531926,0.014236245636039323,0.12474605659664252,0.13446686257922597,0.03434203998739229,0.23756028607048751,-0.02675087295309339,0.2147212104147369,0.12988759199995645,0.177760142102355,0.2030730655355426,0.04155412207664376,0.13719607686345361,0.16241590802450653,0.1851098852463068,0.2477112176741882,0.15745148284696095,0.12015794266068895,0.27346293994404,0.13007165281319516,0.14460102298436656,0.13034214565885338,0.33185325460623216,0.12855143552655793,0.2031914862550519,0.2870609371686018,-0.026122352067358936,0.124023604670824,0.15885371803970594,0.13298857017924737,0.09376067660101585,0.13917021051760034,0.17106104159406427,0.187127643932123,0.08792999321385804,0.048224815265184406
102 Dalmatians (2000),-0.01863830873333645,0.06667626851637054,-0.01258116906058583,-0.01772072183888646,0.10990913737325896,0.08633656356768886,0.2648198553166417,0.23738063393092015,1.0016420361247897,0.032383313242667945,0.0610452579240665,-0.020053565615233887,0.29613284867738937,-0.010141239325059396,0.029677375598124812,0.033735500311864605,0.06541914199488807,0.23683297335171422,0.06254752573817209,-0.017635024780131965,-0.01624046326244214,0.14634765371795055,-0.011629766623897255,-0.01934972436330753,-0.011479204956603506,0.028222649038942327,-0.01963343307700736,0.08394234101891358,-0.012661532705208601,0.1462317380302811,0.028815949022008288,0.05541430600813581,0.07656677921737305,-0.012579318635652448,0.023060253307430507,0.18571159647540494,0.1961923000901963,0.025969183313302606,0.11799516391005407,0.10727117389804867,0.11499388358581922,0.18375790907655248,0.10784210967858374,-0.011916881107706544,0.08748494971381401,0.10844268515183399,0.024695455234830924,0.05685021662413183,-0.016417676441216552,-0.011196807114426327,-0.01559243712152047,0.22253349670518852,0.07889026595802127,-0.010213905400531456,0.13120455073900028,-0.010622820699428905,0.03938308415747023,0.05562210313456112,-0.019759317276916957,0.041347660729805474,-0.014609631623144262,-0.015685620171969356,0.3108435704156142,0.048770084786642874,0.10329438443309932,0.09226136796115642,0.06300770280346459,-0.023259521792807426,-0.01824210671328663,0.025495053583490856,-0.011573245779668277,-0.014328027937842058,-0.01585276983786168,0.01370105609619701,0.29637319110644283,-0.010617790863139756,-0.01069285807575883,0.0877236112220478,0.08242834173274481,0.22164605539799734,-0.032794943029256965,0.07826041242393547,0.1807182419119512,-0.01429171615202942,0.03736093052485583,0.02602173447731809,0.025010014528523593,-0.01691943077362754,0.02070699805495255,0.08894871600958654,-0.011301328422017396,0.05465064257009517,0.1837944707195356,0.1430664382827946,0.09835965825054963,0.18784950717921986,0.11335125748471152,-0.027724675950323966,-0.012673539168685275,0.07967369845679026
12 Angry Men (1957),0.034279677936653666,0.16001787653768468,0.026420596187537778,0.03175556549894822,0.011803461276435282,0.059283982393548554,0.12003981010873473,0.1342569913837901,0.032383313242667945,1.001642036124787,0.13319776760129132,0.058959097533949574,-0.02771732620680848,0.03605750451502543,0.08489887986833289,0.1898082006980488,0.0019608058169740695,0.1080732910895401,0.049843881513338566,0.0840417512402099,0.0056096249543546774,0.03836582737605335,-0.030748050557316383,0.09533154150089308,-0.03034997913355891,0.19623046120496201,0.10173290043528335,0.23642445161814876,0.07710481119960519,0.15201515105925523,0.008826871763418431,0.03225145973420636,0.030919000027232767,0.0902692710284446,0.09883475801712362,0.021934360773075263,0.0814414473204945,0.14025084493969342,0.19892675984125127,0.052740108040190296,0.03629021022250787,0.11535804683473455,0.17647641934805092,-0.0315071552710572,0.09369891514921813,0.08107443184762952,0.06516871961325371,0.15237352381000815,0.03531395093488061,0.04159286012952427,0.05299221445292903,0.15614112678578276,0.13376931219436905,-0.02700464160629426,0.0032131755365576217,0.1579561784403721,0.029629536959575042,0.14744778846731454,0.05962309942918262,0.05761007798899787,0.0610021740803968,0.06398837142551358,0.1410374151484166,0.13384934185538153,0.13839546082324097,0.055229007024653755,0.09187955304861235,0.04280574089010483,0.09409151788295043,0.021998471585280097,0.041149049793422945,0.018180160912081026,0.06619286853021787,0.0779004537272535,0.07574491688995712,0.02019873168698454,0.1747190210765111,0.06549984173894906,0.09157231970785931,0.024722165104730687,0.15264485986293488,0.044169057837585075,0.11983220968590882,0.09035680706646633,0.18144528335990634,0.13830124363988794,0.045290714159086004,0.1371668633133619,0.03754310416268655,0.07332437173638338,-0.029879689672446648,0.016921693711469652,0.113230589726999,0.01958176457306594,0.05273054154409767,0.08453904291582255,0.2071299885992121,0.11016180009501066,0.07737818513187548,-0.0303347357786566
